Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
124,Dewayne Dedmon,C,29,ATL,41,1015,15.2,0.588,0.396,0.19,6.8,25.7,16,8.3,2,3.4,13.9,16.6,1.1,1.2,2.2,0.106,-1,1.5,0.6,0.7
125,Sam Dekker,SF-PF,24,TOT,32,554,15.6,0.548,0.191,0.164,7.4,15,11.1,8.1,2.7,0.9,7.1,16.4,0.7,0.4,1.1,0.095,-0.9,-0.3,-1.2,0.1
126,Matthew Dellavedova,PG,28,TOT,35,533,12.8,0.596,0.545,0.2,1,9.7,5.3,30.7,0.5,0,21.1,18.6,0.7,0,0.6,0.058,0,-4.7,-4.7,-0.4
127,Luol Deng,SF,33,MIN,12,148,17,0.612,0.413,0.391,6.4,16.9,11.6,4.9,2.3,1.2,8.5,16.7,0.3,0.2,0.5,0.147,0.5,-0.8,-0.3,0.1
128,DeMar DeRozan,SG,29,SAS,49,1734,18.8,0.525,0.047,0.321,2.4,16.9,9.7,27.5,1.4,1.2,11.5,28.6,1.9,1.6,3.5,0.096,-0.1,0.3,0.1,0.9
129,Marcus Derrickson,PF,22,GSW,7,43,5.8,0.506,0.55,0.2,5.2,7.2,6.3,0,0,2,12.1,24.5,0,0,0,-0.037,-5.1,-7.3,-12.3,-0.1
130,Cheick Diallo,PF,22,NOP,34,337,15.1,0.591,0.021,0.316,9,26.5,17.9,4,1.8,4,16.3,15.9,0.3,0.5,0.7,0.102,-3.4,0.8,-2.6,-0.1
131,Hamidou Diallo,SG,20,OKC,42,502,10.3,0.499,0.146,0.367,7.3,11.6,9.5,4.5,1.7,1.7,10.3,16.6,0.1,0.7,0.8,0.079,-4,-0.3,-4.3,-0.3
132,Gorgui Dieng,C,29,MIN,51,695,15.7,0.569,0.174,0.275,7.4,24.4,15.8,9.2,1.8,3.3,11.6,16.6,1,0.9,1.9,0.132,-1.5,1.7,0.2,0.4
133,Spencer Dinwiddie,PG,25,BRK,49,1399,17.7,0.598,0.44,0.418,1.6,7.7,4.6,27.9,1,0.6,13.9,24.8,3.3,0.8,4.1,0.142,3,-2.6,0.4,0.8
134,Donte DiVincenzo,SG,22,MIL,23,358,8.6,0.492,0.645,0.103,4,11.7,8.1,9.7,1.6,1.4,13.9,15.3,-0.1,0.5,0.5,0.062,-2.4,0.5,-1.9,0
135,Luka Doncic,SG,19,DAL,49,1571,19.2,0.556,0.431,0.395,3.7,19.1,11.6,28.3,1.7,0.7,14.9,28.6,2,1.9,3.9,0.12,2.9,0.8,3.7,2.3
136,Tyler Dorsey,SG,22,ATL,27,251,7.9,0.448,0.438,0.292,3.7,14.8,9.1,9.5,1.3,0.3,9.1,17.8,-0.1,0.1,0,-0.007,-4.2,-2.6,-6.7,-0.3
137,Damyean Dotson,SG,24,NYK,42,1055,11.6,0.543,0.462,0.142,2.3,12.9,7.4,7.9,1.7,0.4,7.6,15.9,0.8,0.4,1.2,0.055,-0.5,-1.1,-1.7,0.1
138,PJ Dozier,SG,22,BOS,4,10,25,0.583,0.333,0,21.2,21.4,21.3,0,0,0,0,25.8,0,0,0,0.216,1,-10.7,-9.6,0
139,Goran Dragic,PG,32,MIA,14,408,13.3,0.51,0.372,0.266,2.1,9.1,5.6,26.8,1.2,0.8,14.3,25.6,0.1,0.4,0.4,0.052,-0.6,-2,-2.6,-0.1
140,Andre Drummond,C,25,DET,47,1559,20.9,0.523,0.046,0.346,16.4,33.2,24.4,6.2,2.3,4.1,13.1,23.6,1,3.2,4.2,0.129,-2.3,2.9,0.7,1
141,Jared Dudley,PF,33,BRK,43,944,7.1,0.523,0.637,0.184,2.8,10.8,6.8,9.2,1.4,1.1,15.3,10.9,0.2,0.8,1,0.051,-1.9,0.8,-1.1,0.2
142,Kris Dunn,PG,24,CHI,26,805,12.9,0.493,0.143,0.157,0.8,13.9,7.3,32.5,2.4,1.4,17.3,21.2,-0.4,0.8,0.4,0.025,-2.5,0.5,-2,0
143,Kevin Durant,PF,30,GSW,51,1812,24.7,0.62,0.266,0.372,1.6,19.4,10.8,25.8,1.1,2.7,12.7,30.6,5.6,1.9,7.6,0.2,4,0.2,4.2,2.8
144,Vince Edwards,SF,22,HOU,2,16,3.9,0.375,1,0,6.8,7.3,7,0,0,0,0,10.9,0,0,0,-0.027,-4.2,-6.2,-10.4,0
145,Henry Ellenson,PF,22,DET,2,25,14.9,0.551,0.4,0.2,0,40.9,19.5,6.3,0,0,0,18.5,0,0,0.1,0.148,-3.7,-2.6,-6.4,0
146,Wayne Ellington,SG,31,MIA,25,533,11,0.547,0.842,0.087,1.2,8.2,4.7,8,2.2,0.5,6.8,16.4,0.4,0.6,1,0.093,0.8,-1.1,-0.3,0.2
147,Joel Embiid,C,24,PHI,48,1603,25.7,0.593,0.212,0.539,8.1,34.1,21.5,18.5,0.8,4.5,13.6,33.3,3.7,2.8,6.5,0.195,1.6,2,3.6,2.3
148,James Ennis,SF,28,HOU,37,856,11.4,0.633,0.578,0.289,4.3,9.5,6.8,4.1,1.8,1.5,9.5,11.8,1.4,0.4,1.8,0.1,0.1,-0.7,-0.6,0.3
149,Drew Eubanks,PF,21,SAS,12,47,20.8,0.742,0,0.571,2.4,25.5,14.1,6.4,1,0,10.2,18.2,0.2,0,0.2,0.204,-0.1,-2.3,-2.4,0
150,Jacob Evans,SG,21,GSW,23,99,-1.3,0.256,0.24,0.04,1.1,8.4,4.9,15.4,0.5,0.9,19.1,13.5,-0.3,0,-0.2,-0.116,-8.8,-2.3,-11.1,-0.2
151,Jawun Evans,PG,22,PHO,4,46,1,0.2,0.2,0,2.4,22.3,12.2,22.4,2.1,0,28.6,13.2,-0.2,0,-0.1,-0.139,-9.9,0.3,-9.6,-0.1
152,Tyreke Evans,SG,29,IND,44,906,12.7,0.497,0.345,0.239,3,11.7,7.4,16.7,2.4,1,14.1,26.9,-0.8,1.4,0.6,0.031,-2.3,-0.5,-2.9,-0.2
153,Dante Exum,PG,23,UTA,39,637,12.7,0.53,0.252,0.368,2.6,8.5,5.6,25.4,1.1,0.6,14.5,21.4,0.5,0.7,1.2,0.088,-1.6,-1.4,-3,-0.2
154,Kenneth Faried,C,29,TOT,18,302,21.7,0.61,0.091,0.436,13.6,22.7,18.1,5.1,1.3,3,9.6,20.7,0.8,0.3,1.1,0.173,-0.5,-1.2,-1.7,0
155,Derrick Favors,C,27,UTA,52,1209,20.6,0.614,0.15,0.396,13,20.6,16.8,7.4,1.5,4.3,10.5,18.6,2.9,2.2,5,0.2,1,2.8,3.7,1.8
156,Cristiano Felicio,C,26,CHI,31,294,12.4,0.595,0.032,0.365,9.2,21,15.1,8.1,0.7,0.6,16.1,13,0.3,0.2,0.5,0.089,-3.2,-0.6,-3.9,-0.1
157,Raymond Felton,PG,34,OKC,15,166,10.8,0.438,0.395,0.118,1.8,11.3,6.5,22.5,1.7,2,12.1,22.3,-0.1,0.2,0.1,0.03,-3.9,-0.9,-4.8,-0.1
158,Terrance Ferguson,SG,20,OKC,43,1006,6.8,0.564,0.626,0.109,2.1,6,4,3.9,1.1,0.9,9.1,10.7,0.6,1,1.6,0.078,-1.7,-0.4,-2,0
159,Yogi Ferrell,PG,25,SAC,41,604,13.3,0.545,0.402,0.172,1.5,10.5,5.9,17.6,1.4,0.6,8,16.3,0.9,0.4,1.2,0.096,-0.3,-1.8,-2.1,0
160,Dorian Finney-Smith,SF,25,DAL,51,1253,11.6,0.566,0.484,0.229,7.7,11.8,9.8,4.4,2,1.7,12.2,13.4,1.1,1.5,2.5,0.098,-0.3,1.3,1,1
161,Bryn Forbes,PG,25,SAS,53,1519,11.6,0.578,0.515,0.094,0.7,10.2,5.5,10.7,1,0.2,9.7,17.8,1.4,0.8,2.2,0.07,1,-1.9,-0.9,0.4
162,Evan Fournier,SG,26,ORL,51,1595,11.4,0.522,0.44,0.156,1.7,8.8,5.2,17.7,1.4,0.4,12.6,22.6,-0.2,1.2,1,0.029,-0.8,-1.7,-2.4,-0.2
163,De'Aaron Fox,PG,21,SAC,50,1572,18.2,0.55,0.22,0.39,2,10.3,6.1,32.6,2.5,1.4,16.1,24.9,2,1.5,3.4,0.105,1.2,-0.2,0.9,1.2
164,Melvin Frazier,SG,22,ORL,3,16,-9.7,0,0.333,0,0,6.9,3.4,0,3.1,0,25,11,-0.1,0,-0.1,-0.239,-14.1,0.3,-13.8,0
165,Tim Frazier,PG,28,NOP,40,749,11.6,0.551,0.411,0.196,3.6,12.2,8,28.3,1.2,0.4,22.6,12.2,0.9,0.3,1.3,0.081,-0.5,-1.5,-2,0
166,Channing Frye,C,35,CLE,26,268,7.8,0.493,0.667,0.138,1.6,16.1,8.5,8.7,0.9,1.3,9.8,16.7,0,0,0,-0.003,-2.5,-2.9,-5.4,-0.2
167,Markelle Fultz,PG,20,PHI,19,427,10.5,0.452,0.09,0.239,6.7,10.7,8.8,19.6,1.9,0.9,12.7,19.3,-0.1,0.4,0.4,0.04,-2.9,-0.1,-3,-0.1
168,Danilo Gallinari,SF,30,LAC,44,1377,19.5,0.622,0.425,0.432,3.2,16.5,10.1,12,1.1,0.7,8.4,22.6,4,1,5,0.175,3.8,-1.2,2.6,1.6
169,Langston Galloway,SG,27,DET,48,1048,10.2,0.519,0.657,0.153,3.3,9,6,7.5,1,0.3,4.1,16,1,0.8,1.8,0.084,-0.1,-1.3,-1.5,0.1
170,Marc Gasol,C,34,MEM,52,1757,17,0.539,0.327,0.301,3.4,26.4,14.6,23,1.7,3.5,13.6,22.5,1,2.9,3.9,0.106,-0.4,3.3,2.9,2.2
171,Pau Gasol,C,38,SAS,22,291,18.1,0.561,0.133,0.427,6.9,35.5,21.4,19.2,0.7,3.8,12.7,15.4,0.6,0.4,1,0.164,-1,2.9,1.9,0.3
172,Rudy Gay,PF,32,SAS,43,1170,18.3,0.598,0.227,0.186,4,22,13.1,13.9,1.6,1.9,12.1,21.8,1.8,1.4,3.2,0.131,1,0.8,1.8,1.1
173,Paul George,SF,28,OKC,50,1801,24.6,0.592,0.439,0.319,4.3,18.9,11.5,17.7,3,1.1,10,29.3,5.1,3.4,8.5,0.226,5.2,1,6.2,3.7
174,Taj Gibson,PF,33,MIN,50,1279,16.9,0.608,0.086,0.301,10.6,17.8,14.2,7.3,1.5,1.9,11.4,16.1,2.6,1.2,3.8,0.143,0.6,0.8,1.4,1.1
175,Harry Giles,PF,20,SAC,38,481,13.9,0.513,0.025,0.239,7.8,19.6,13.6,16.3,2.3,2.5,16.5,22.9,-0.1,0.6,0.5,0.049,-3.2,1.4,-1.8,0
176,Shai Gilgeous-Alexander,PG,20,LAC,52,1355,12,0.538,0.188,0.256,2.8,7.7,5.4,16,1.9,1.6,16,17.8,0.4,1,1.4,0.051,-1.3,0.2,-1.1,0.3
177,Rudy Gobert,C,26,UTA,53,1672,24.5,0.675,0,0.69,13,31.3,22.2,10.9,1.4,5.6,12.2,17.5,5.6,3.6,9.2,0.266,2,5.3,7.3,4
178,Brandon Goodwin,PG,23,DEN,15,52,9.8,0.46,0.222,0.611,2.1,4.2,3.2,29.5,0,0,11.6,21.3,0.1,0,0.1,0.064,-3.6,-6.1,-9.7,-0.1
179,Aaron Gordon,PF,23,ORL,48,1616,15.5,0.54,0.332,0.244,5.6,19.1,12.2,15.9,1,1.7,11.3,21.5,1.3,1.7,3,0.089,0.1,0.6,0.7,1.1
180,Eric Gordon,SG,30,HOU,40,1309,11.2,0.517,0.583,0.196,1.2,8.2,4.6,10.1,0.8,1,8.7,22.9,0.5,0.2,0.6,0.023,-1,-3.6,-4.6,-0.9
181,Marcin Gortat,C,34,LAC,45,734,13.5,0.571,0,0.262,10,26.1,18.3,12.2,0.4,2.5,19.4,14.6,0.7,0.8,1.5,0.097,-2,1.5,-0.6,0.3
182,Devonte' Graham,PG,23,CHO,28,359,10.9,0.493,0.557,0.174,0.6,8.5,4.5,23.7,2.2,0,12.7,16.9,0.1,0.3,0.4,0.055,-1.2,-2.4,-3.6,-0.1
183,Treveon Graham,SG,25,BRK,15,343,3.5,0.402,0.588,0.2,3.7,11,7.4,6.2,0.7,0.9,13,12.3,-0.3,0.2,-0.1,-0.016,-4.2,-0.2,-4.5,-0.2
184,Jerami Grant,PF,24,OKC,51,1641,13.9,0.597,0.323,0.302,3.2,13,8,4.1,1.3,3.6,7.2,14.7,2.5,2.4,4.9,0.142,-0.8,1.6,0.7,1.1
185,Jerian Grant,PG,26,ORL,44,776,9.7,0.493,0.485,0.181,2.2,9.3,5.7,22.8,2.3,0.4,19.2,12.9,0.1,0.8,0.9,0.054,-2.6,-0.3,-2.9,-0.2
186,Danny Green,SG,31,TOR,51,1478,11.7,0.594,0.671,0.062,3.4,12.1,7.8,6,1.5,2.3,10.5,13.8,1.5,1.7,3.2,0.104,1,1.3,2.3,1.6
187,Draymond Green,PF,28,GSW,36,1129,13.1,0.489,0.373,0.208,3.7,22.9,13.7,28.5,2.5,2.6,26.7,13.3,0.5,1.8,2.3,0.097,-1.4,3.6,2.2,1.2
188,Gerald Green,SG,33,HOU,47,992,10.7,0.553,0.784,0.101,2.5,12.1,7.1,4.4,0.8,1.5,8.2,18.2,0.7,0.3,1,0.048,-0.7,-3.2,-3.9,-0.5
189,JaMychal Green,PF,28,MEM,40,890,15.4,0.584,0.31,0.258,8.9,23.4,16,6.8,1.9,2.8,15.6,20.9,0.5,1.4,1.9,0.101,-1.8,0.9,-1,0.2
190,Jeff Green,PF,32,WAS,49,1349,13.8,0.608,0.437,0.26,3.6,14.9,9.1,9.5,0.9,1.5,11.3,17.3,1.9,0.7,2.6,0.092,0.1,-1.1,-1,0.3
191,Blake Griffin,PF,29,DET,48,1749,21.6,0.591,0.359,0.422,3.8,21.2,12.1,26.7,1.1,1,14.4,30.3,3.5,2.1,5.5,0.151,4.5,0.8,5.3,3.2
192,Daniel Hamilton,SG,23,ATL,19,204,7.2,0.455,0.383,0.1,5.1,19.8,12.3,14.8,1.4,0.4,20.3,15.6,-0.2,0.1,-0.1,-0.022,-4.8,-0.8,-5.6,-0.2
193,Tim Hardaway,SG,26,NYK,46,1499,14.6,0.531,0.464,0.321,1.8,9.8,5.6,13.3,1.3,0.3,8.9,25.7,1.2,0.3,1.6,0.051,1.3,-3.1,-1.8,0.1
194,James Harden,SG,29,HOU,48,1797,30.6,0.618,0.553,0.489,2.9,17.6,10,42.4,2.7,1.6,15.8,40.3,7.4,1.7,9.1,0.242,11.1,0.5,11.7,6.2
195,Maurice Harkless,SF,25,POR,32,693,11.1,0.537,0.347,0.15,5.3,13.5,9.5,5,2,3.2,10.2,12.5,0.5,0.9,1.4,0.095,-1.2,2.1,0.9,0.5
196,Montrezl Harrell,C,25,LAC,52,1348,23.9,0.639,0.015,0.511,10.3,16.9,13.8,10.5,1.7,4,10.4,22.4,4.1,1.6,5.8,0.206,2.8,1.7,4.5,2.2
197,Devin Harris,PG,35,DAL,39,583,11.8,0.536,0.554,0.324,1.1,9.7,5.5,13.2,2.1,1.1,10.7,19.1,0.4,0.6,1,0.083,-0.8,-0.6,-1.4,0.1
198,Gary Harris,SG,24,DEN,32,956,13.9,0.526,0.389,0.225,2.5,8.6,5.6,13.1,1.6,1.3,8,21.9,1,0.8,1.8,0.093,0.2,-1.4,-1.3,0.2
199,Joe Harris,SG,27,BRK,49,1455,13.6,0.635,0.514,0.157,2.6,10.9,6.7,12.8,0.9,0.5,13.1,17.3,2.5,0.9,3.4,0.113,1.7,-0.9,0.8,1
200,Tobias Harris,PF,26,LAC,52,1807,19.2,0.612,0.303,0.265,2.1,21.4,12.1,12.5,1,1,9.8,23.3,3.8,1.7,5.5,0.145,2.3,-0.4,1.9,1.8
201,Andrew Harrison,SG-PG,24,TOT,17,187,6,0.443,0.472,0.34,3.5,8.5,5.9,17.2,1.1,0.9,16.5,16.9,-0.1,0,-0.1,-0.029,-3.6,-3,-6.5,-0.2
202,Shaquille Harrison,PG,25,CHI,43,750,10.9,0.463,0.264,0.338,2.2,14.5,8.3,13.3,3.2,1.9,11.4,16.4,-0.5,0.9,0.5,0.031,-3.8,1.8,-2.1,0
203,Josh Hart,SG,23,LAL,52,1397,10,0.532,0.594,0.18,2.1,12.7,7.6,7.4,1.8,1.9,10.8,14.3,0.3,1.7,2.1,0.072,-1.3,1.2,-0.1,0.7
204,Isaiah Hartenstein,PF,20,HOU,24,193,10.4,0.552,0.15,0.35,11.8,12.7,12.2,8.9,1.3,4.4,20.6,13.1,0.2,0.1,0.3,0.081,-2.8,1,-1.8,0
205,Udonis Haslem,C,38,MIA,3,14,-4.6,0.333,0.333,0,7.5,30.5,18.9,0,0,0,25,24.3,-0.1,0,-0.1,-0.236,-16.2,-7.5,-23.7,-0.1
206,Gordon Hayward,PF,28,BOS,47,1209,14.6,0.535,0.406,0.257,3.5,15.5,9.5,18.3,1.8,1.1,12.8,19.2,1.2,1.8,2.9,0.117,-0.4,0.8,0.4,0.7
207,John Henson,C,28,MIL,14,188,17.4,0.553,0.463,0.149,9.4,28.5,19.6,10.2,1.7,5,14.4,18.7,0.1,0.5,0.6,0.153,-1.6,3.2,1.7,0.2
208,Juan Hernangomez,PF,23,DEN,49,1150,12.7,0.614,0.572,0.288,5.6,16.8,11.2,5.1,0.9,1.6,9.8,12.6,1.9,1.1,3,0.124,0.4,-0.3,0,0.6
209,Willy Hernangomez,C,24,CHO,43,597,20.7,0.587,0.127,0.461,16.1,27.6,21.8,10.5,0.9,2.2,14.1,22.9,1.3,0.7,2,0.161,0.3,-0.4,-0.2,0.3
210,Mario Hezonja,SF,23,NYK,43,814,10,0.478,0.341,0.224,2.1,17.5,9.5,8.2,2.4,0.6,12.6,20.7,-0.9,0.6,-0.3,-0.015,-3.9,-0.9,-4.8,-0.6
211,Buddy Hield,SG,26,SAC,51,1605,17.4,0.604,0.467,0.121,4,12.4,8.1,11.2,0.8,1,9.8,24.3,2.8,0.8,3.7,0.109,3.2,-2.3,1,1.2
212,Haywood Highsmith,SF,22,PHI,2,9,17.4,0.75,1,0,0,11.5,5.9,29.8,0,0,0,9.3,0,0,0,0.231,3.4,-5,-1.6,0
213,Nene Hilario,C,36,HOU,24,316,12.8,0.597,0.03,0.439,5.8,22.2,13.7,7,1.1,2.1,7.1,11.6,0.6,0.2,0.8,0.128,-2.8,-0.1,-2.9,-0.1
214,George Hill,PG,32,TOT,38,875,11.3,0.548,0.377,0.212,3.2,7.7,5.6,14,1.9,0.4,11.6,14.3,0.9,0.7,1.6,0.09,-0.7,-0.7,-1.4,0.1
215,Solomon Hill,SF,27,NOP,33,695,6.9,0.503,0.548,0.185,4.5,11.1,7.9,7.6,1.2,1,14.6,9.4,0.2,0.3,0.5,0.035,-1.5,0,-1.5,0.1
216,Aaron Holiday,PG,22,IND,32,353,13.6,0.511,0.526,0.195,1,13.6,7.4,18.8,1.8,2.8,10.7,23.1,0.1,0.5,0.7,0.088,-1,-0.3,-1.2,0.1
217,Jrue Holiday,SG,28,NOP,52,1914,19.5,0.559,0.298,0.238,3.5,10.3,7,31.9,2.1,1.9,14.9,25,3.2,1.4,4.6,0.115,3,-0.1,2.9,2.4
218,Justin Holiday,SG,29,TOT,53,1728,9.6,0.506,0.645,0.13,1.5,12.4,6.9,9.1,2.4,1.3,11.7,15.6,-0.7,1.7,1,0.028,-1.6,0.9,-0.7,0.6
219,John Holland,SF,30,CLE,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.037,-6.3,-1.2,-7.5,0
220,Rondae Hollis-Jefferson,SF,24,BRK,42,946,12.6,0.462,0.104,0.387,6.6,19.9,13.2,12,1.6,1.8,10.1,21.3,-0.2,1.1,1,0.05,-3.9,1,-2.9,-0.2
221,Richaun Holmes,C,25,PHO,47,773,22.7,0.697,0,0.474,10.9,20.4,15.6,8.3,1.8,6.1,11.8,17.5,2.4,0.8,3.2,0.201,1.1,2.1,3.3,1
222,Rodney Hood,SG,26,CLE,44,1204,13.4,0.545,0.335,0.246,1.6,8.8,5.1,11.8,1.5,0.4,6.8,19.4,1.6,-0.1,1.5,0.06,0.3,-2.9,-2.6,-0.2
223,Al Horford,C,32,BOS,42,1186,19.4,0.601,0.305,0.107,7.1,18.4,12.7,19.2,1.3,4.8,13.6,18.4,2.4,2,4.4,0.177,1.5,3.3,4.9,2.1
224,Danuel House,SF,25,HOU,25,620,12.6,0.631,0.645,0.355,3.5,13,8.1,6.2,1.1,1.4,11.4,14.2,1.1,0.2,1.3,0.1,0.1,-1.5,-1.4,0.1
225,Dwight Howard,C,33,WAS,9,230,17.7,0.638,0,0.696,11.2,29,19.9,2.6,1.4,1.5,15.1,19.8,0.4,0.3,0.6,0.133,-3,-2.1,-5.2,-0.2
226,Kevin Huerter,SG,20,ATL,47,1268,9.6,0.528,0.55,0.1,3.1,9.5,6.2,14.2,1.5,1.3,15.2,15.3,0.2,0.5,0.7,0.027,-1.3,-0.9,-2.1,0
227,Chandler Hutchison,SF,22,CHI,44,895,8.9,0.507,0.239,0.182,3.7,18.7,11.2,5.5,1.2,0.6,10,12.3,0,0.7,0.7,0.035,-4.2,-0.1,-4.3,-0.5
228,Serge Ibaka,C,29,TOR,49,1423,18,0.577,0.203,0.203,7.8,20.3,14.2,7.6,0.8,3.8,11.5,23.1,1.8,2,3.8,0.129,-0.4,0.9,0.5,0.9
229,Andre Iguodala,SF,35,GSW,46,1082,12.8,0.568,0.473,0.264,3.4,13.7,8.8,16.5,1.8,2.9,13.8,10.2,1.6,1.2,2.7,0.12,0.2,1.8,2,1.1
230,Ersan Ilyasova,PF,31,MIL,38,667,11.5,0.527,0.419,0.152,8,17.8,13.2,6.9,1.7,1.2,11.5,16,0.4,1.2,1.6,0.114,-1.7,0.7,-1,0.2
231,Joe Ingles,SF,31,UTA,53,1654,12.5,0.557,0.57,0.179,1.1,12.4,6.8,23.2,2.1,0.6,17.4,17.6,0.9,2.3,3.2,0.093,0.2,1.1,1.3,1.4
232,Brandon Ingram,SF,21,LAL,41,1362,12.8,0.541,0.126,0.388,2.5,12.2,7.5,13.2,0.9,1.5,13.9,22.9,0.1,1.3,1.4,0.05,-2.6,-0.2,-2.8,-0.3
233,Kyrie Irving,PG,26,BOS,44,1439,25.3,0.601,0.351,0.196,3.9,12.1,8,35.8,2.6,1.2,12.2,29.4,4.5,2.2,6.7,0.223,6.7,0.7,7.4,3.4
234,Jonathan Isaac,PF,21,ORL,46,1178,11.3,0.512,0.381,0.255,4.8,17.5,11,5.9,1.5,3.7,11.5,15.6,0,1.5,1.6,0.063,-3.1,1.8,-1.3,0.2
235,Wesley Iwundu,SF,24,ORL,38,636,7.4,0.5,0.258,0.377,2.7,11.5,7,6.7,1.2,1.3,12,13.8,-0.1,0.5,0.4,0.034,-4.4,-0.1,-4.5,-0.4
236,Demetrius Jackson,PG,24,PHI,6,39,21,0.656,0.4,0.267,5.7,2.7,4.1,19.7,2.4,0,5.6,19.1,0.2,0,0.2,0.236,4.4,-3.4,1,0
237,Frank Jackson,PG,20,NOP,37,515,8.9,0.538,0.393,0.185,1.9,9.2,5.6,8,1,0,11.1,17.4,0.1,0.1,0.3,0.025,-2,-3,-5,-0.4
238,Jaren Jackson,PF,19,MEM,52,1339,16.8,0.592,0.234,0.32,5.4,15.7,10.4,7.6,1.8,5.5,12.7,22.9,1.1,2.1,3.2,0.114,-1.3,1.9,0.7,0.9
239,Josh Jackson,SG,21,PHO,53,1234,9.7,0.474,0.266,0.258,3.6,17.2,10.3,14.9,1.9,2.4,17.9,24.1,-2.3,0.8,-1.5,-0.06,-5.1,-0.1,-5.2,-1
240,Justin Jackson,SF,23,SAC,50,1065,10.3,0.549,0.541,0.164,2.4,11.8,7,8,1,1,6.3,13,1.1,0.6,1.7,0.075,-0.6,-0.9,-1.4,0.2
241,Reggie Jackson,PG,28,DET,50,1450,13.6,0.529,0.458,0.241,2.4,8.8,5.4,23.7,1.2,0.3,11.5,22.5,1.5,1.2,2.8,0.091,0.9,-1.5,-0.6,0.5
242,LeBron James,PF,34,LAL,35,1219,26,0.597,0.291,0.4,2.9,21.4,12.5,34.5,1.7,1.6,13.1,31.1,3.2,1.8,5,0.198,5.6,1.9,7.5,2.9
243,Amile Jefferson,PF,25,ORL,1,4,17.9,0.532,0,2,26.5,0,13.5,0,0,0,0,20.6,0,0,0,0.255,0.2,-8.6,-8.4,0
244,Jonas Jerebko,PF,31,GSW,47,894,13.7,0.605,0.544,0.226,7.1,20,13.8,10.5,0.9,0.9,11.2,14.9,1.7,0.8,2.5,0.134,1.3,-0.8,0.4,0.5
245,Alize Johnson,PF,22,IND,11,32,-0.4,0.255,0.2,0.4,3.6,23.8,13.9,0,0,2.8,0,16,-0.1,0,-0.1,-0.099,-12.7,-4.2,-16.9,-0.1
246,Amir Johnson,C,31,PHI,37,354,13.6,0.611,0.233,0.291,8.1,20.3,14.4,18.2,1.5,1.8,22.1,17.7,0.4,0.5,0.8,0.113,-1.2,0.7,-0.4,0.1
