 ,Player,Id,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,COMB
205,Dwyane Wade,wadedw01,SG,37,MIA,7,176,13.3,0.525,0.358,0.185,6.4,11.7,9.1,18.7,0.8,1.4,16.3,24,0,0.1,0.2,0.049,0.2,0.3,0.5,0.1,3.15
206,Cristiano Felicio,feliccr01,C,26,CHI,4,93,13.3,0.634,0,0.471,8.4,21.8,15.2,4.4,1.5,1,16.3,11.4,0.1,0,0.1,0.072,-2.1,-0.8,-2.9,0,0.13
207,Marco Belinelli,belinma01,SG,32,SAS,6,128,13.2,0.532,0.5,0.259,0,10.1,4.7,9.1,1.9,0.7,6.2,21.5,0.1,0,0.2,0.063,-0.5,-2.8,-3.4,0,0.98
208,Isaiah Briscoe,briscis01,PG,22,ORL,3,23,13.2,0.536,0.125,0.375,0,9.3,4.3,35.2,0,0,9.7,18.8,0,0,0,0.064,-1.4,-4.9,-6.2,0,-1.86
209,Patrick Patterson,pattepa01,PF,29,OKC,6,119,13.2,0.592,0.568,0.216,5.7,13.4,9.4,0,1.2,2,6.9,14.4,0.2,0.1,0.3,0.125,-1.6,-2.1,-3.7,-0.1,0.89
210,Tony Snell,snellto01,SG,27,MIL,7,116,13.1,0.633,0.657,0.086,2.8,6.6,4.9,6.8,0.8,1.3,2.7,13.1,0.2,0.2,0.4,0.186,2,1.3,3.3,0.2,6.99
211,J.J. Barea,bareajo01,PG,34,DAL,7,124,13.1,0.359,0.349,0.19,4.3,12.5,8.1,48.1,2.3,0,8.1,24.8,-0.1,0.1,0,0.001,-1,-2.5,-3.5,0,-1.05
212,Kevin Huerter,huertke01,SG,20,ATL,7,110,13.1,0.577,0.621,0.172,5.4,21.2,13.2,12.9,1.2,1.5,13.8,13.5,0.1,0.1,0.2,0.102,-2.5,0.4,-2.1,0,1.37
213,Wayne Selden,seldewa01,SG,24,MEM,6,94,13.1,0.653,0.485,0.152,2.4,4.8,3.6,11.2,2.1,0,18.5,20.6,0,0.1,0.2,0.089,-0.1,-1.3,-1.4,0,1.58
214,Lonzo Ball,balllo01,PG,21,LAL,7,191,13,0.556,0.61,0.119,2.2,15.1,8.7,17.9,2.1,0,15.1,15.4,0.2,0.1,0.3,0.064,0.7,-1.2,-0.4,0.1,3.88
215,Mike Scott,scottmi01,PF,30,LAC,7,80,13,0.711,0.474,0,1.4,13.2,7.8,12.2,1.8,0,9.5,11,0.2,0.1,0.3,0.166,3.4,0.3,3.6,0.1,5.08
216,Jason Smith,smithja02,C,32,WAS,5,79,13,0.51,0.1,0.4,11.6,22.4,17,12.7,0.6,4,14.5,14.5,0.1,0,0.1,0.075,-2.2,1.8,-0.4,0,0.88
217,Fred VanVleet,vanvlfr01,PG,24,TOR,4,99,13,0.481,0.372,0.256,2.2,9.8,6.2,28.8,0.5,0,9.5,22.4,0.1,0.1,0.2,0.077,0.1,-2.5,-2.4,0,1.28
218,Thaddeus Young,youngth01,PF,30,IND,7,209,12.9,0.569,0.097,0.177,4.5,10.8,7.7,6.5,1.9,0.8,9.5,15.7,0.2,0.3,0.5,0.106,-0.2,1.2,1,0.2,7.3
219,Johnathan Williams,willijo04,PF,23,LAL,5,78,12.9,0.542,0,0.263,14.6,10.6,12.6,6.1,0.6,2.9,4.5,11.5,0.2,0,0.2,0.107,0.4,-0.9,-0.5,0,1.85
220,Jeff Teague,teaguje01,PG,30,MIN,7,212,12.9,0.493,0.282,0.359,0.5,8.1,4.2,32.2,1.3,0.4,12.6,19.8,0.2,0,0.2,0.046,-0.8,-3.6,-4.3,-0.1,-0.29
221,Shai Gilgeous-Alexander,gilgesh01,PG,20,LAC,7,181,12.8,0.59,0.14,0.372,3.1,9.5,6.6,18.7,1.8,1.2,20.6,14.6,0.2,0.2,0.4,0.102,0.6,1.1,1.7,0.2,6.51
222,Bryn Forbes,forbebr01,SG,25,SAS,6,186,12.8,0.601,0.485,0.147,1.1,5.7,3.2,9.5,1.6,0,10,18.6,0.2,0,0.3,0.069,1,-3,-2,0,2.4
223,Reggie Jackson,jacksre01,PG,28,DET,6,178,12.8,0.524,0.547,0.387,2.3,7.2,4.5,19.2,0.3,0,9.3,22.7,0.2,0.1,0.4,0.096,1.8,-3.7,-1.8,0,3.46
224,Malcolm Brogdon,brogdma01,PG,26,MIL,7,215,12.7,0.617,0.353,0.191,1.5,8.6,5.5,16.6,0.8,0.4,16,16.6,0.3,0.4,0.7,0.16,0.1,1.5,1.6,0.2,9.48
225,Troy Williams,willitr02,SF,24,SAC,2,46,12.7,0.75,0.6,0,0,13.2,6.6,2.7,1,3.7,0,9,0.1,0,0.1,0.149,1.8,0.2,2,0,1.6
226,Nicolas Batum,batumni01,SG,30,CHO,8,271,12.6,0.574,0.535,0.127,3.1,17.1,9.9,13.1,1.6,2.3,17.6,14.4,0.2,0.3,0.4,0.079,0.4,1.5,1.9,0.3,7.57
227,Malik Monk,monkma01,SG,20,CHO,8,191,12.6,0.528,0.54,0.126,1.1,8.1,4.5,12,1,1.8,8,22.4,0.1,0.1,0.2,0.058,0.6,-2.7,-2.1,0,1.37
228,Jakob Poeltl,poeltja01,C,23,SAS,3,34,12.6,0.5,0,0,23.7,10.4,17.5,15.5,0,0,25,10.1,0.1,0,0.1,0.086,0.7,-1,-0.3,0,0.91
229,Tomas Satoransky,satorto01,SG,27,WAS,7,91,12.6,0.568,0.227,0.545,2.2,12.6,7.4,21.6,0.5,0.9,9.9,13.9,0.2,0,0.2,0.09,-0.9,-1.8,-2.7,0,1.19
230,Omari Spellman,spellom01,PF,21,ATL,6,106,12.6,0.543,0.459,0.216,11.3,14.4,12.8,7.1,1.3,0.8,12.9,17.9,0.1,0.1,0.2,0.073,-2.3,-1.4,-3.7,0,0.89
231,Collin Sexton,sextoco01,PG,20,CLE,7,169,12.6,0.538,0.109,0.5,3.7,9.4,6.4,13.8,0.9,0.5,15.2,22.6,0.1,0,0.1,0.024,-1.8,-4,-5.8,-0.2,-2.74
232,Terry Rozier,roziete01,PG,24,BOS,7,160,12.5,0.504,0.392,0.157,1.2,15.9,8.5,14.4,2.1,1,5.2,15.4,0.1,0.4,0.5,0.158,-1.9,3.7,1.8,0.2,7.54
233,Anthony Tolliver,tollian01,PF,33,MIN,7,143,12.5,0.71,0.853,0.176,2.1,14.2,8,4.9,1,2.8,12,11.8,0.2,0,0.3,0.091,1.5,-0.7,0.8,0.1,4.24
234,Gary Clark,clarkga01,PF,24,HOU,5,38,12.5,0.567,0.867,0,5,19.4,11.2,4.1,0,2,0,16.4,0.1,0,0.1,0.09,0.5,-3.4,-2.9,0,0.13
235,Robert Covington,covinro01,SF,28,PHI,8,280,12.4,0.584,0.659,0.2,2.1,13.5,7.9,4.1,2.6,3.9,13.1,15.5,0.1,0.5,0.5,0.094,-0.6,2.3,1.6,0.3,8.48
236,Joe Harris,harrijo01,SG,27,BRK,7,202,12.4,0.665,0.574,0.082,2.8,11.6,7.5,13.4,1,0.4,19.2,16.8,0.2,0.1,0.3,0.061,0.6,-0.5,0.1,0.1,4.03
237,Josh Hart,hartjo01,SG,23,LAL,7,215,12.4,0.564,0.52,0.2,1.4,14.9,8.2,5.1,2.8,1.1,10.9,17.2,0.1,0.2,0.2,0.049,-0.3,-0.7,-1.1,0.1,2.67
238,Wesley Matthews,matthwe02,SF,32,DAL,7,243,12.4,0.538,0.551,0.252,2.6,6.9,4.6,11.3,0.8,0,7.8,22,0.3,0,0.3,0.05,0.7,-4.4,-3.7,-0.1,0.89
239,E'Twaun Moore,mooreet01,SG,29,NOP,6,186,12.3,0.613,0.371,0.21,3.4,4,3.7,7.6,1,1.3,10.6,16.3,0.3,0,0.3,0.082,2.5,-2,0.5,0.1,4.15
240,Jonathan Isaac,isaacjo01,PF,21,ORL,7,164,12.3,0.511,0.367,0.224,5.6,20.8,12.7,3.7,1.8,4.1,10,15.3,0,0.2,0.2,0.061,-3.2,1.8,-1.4,0,1.58
241,Wendell Carter,cartewe01,PF,19,CHI,7,166,12.2,0.48,0.105,0.263,6,21.2,13.8,13.8,0.3,6,13.6,19.1,-0.1,0,0,-0.01,-4.3,1.2,-3.1,0,-0.93
242,Dante Exum,exumda01,PG,23,UTA,6,107,12.2,0.511,0.283,0.435,2.3,11,6.9,16.4,0.4,1.5,11.3,24.8,0,0.1,0.1,0.056,-2.6,-0.2,-2.8,0,0.16
243,MarShon Brooks,brookma01,SG,30,MEM,5,64,12.1,0.551,0.385,0.346,1.7,12.4,7,8.3,0.8,0,9.1,23.1,0,0.1,0.1,0.071,-2.3,-2.5,-4.9,0,-0.47
244,Isaiah Hartenstein,harteis01,PF,20,HOU,5,34,12.1,0.615,0.25,0.5,5.5,3.6,4.7,17.3,1.4,4.6,17,14.4,0.1,0,0.1,0.103,-1.5,0.3,-1.3,0,0.61
245,Jahlil Okafor,okafoja01,C,23,NOP,4,41,12.1,0.53,0,0.3,15.3,15.6,15.5,3.3,0,0,18.1,26.9,0,0,0,-0.001,-3.7,-5.7,-9.4,-0.1,-3.82
246,Bismack Biyombo,biyombi01,C,26,CHO,4,45,12,0.49,0,0.625,9.3,22.1,15.5,2.8,0,13.7,16.4,11.6,0,0.1,0.1,0.083,-5.2,5.7,0.5,0,1.15
247,Terrence Ross,rosste01,SG,27,ORL,7,167,12,0.48,0.5,0.095,1.7,8.9,5,14,2.6,2,8.4,24,-0.1,0.2,0,0.006,-0.4,-0.6,-1,0,-0.3
248,Bobby Portis,portibo01,PF,23,CHI,4,113,12,0.467,0.268,0.22,5.9,32.1,19.3,10.1,0.8,3.2,10,19.1,-0.1,0.1,0,-0.001,-4.3,-0.1,-4.4,-0.1,-2.32
249,Khem Birch,birchkh01,C,26,ORL,2,17,11.9,0.5,0,0,0,12.5,5.8,0,5.6,0,0,9.9,0,0,0,0.078,-4.9,1.7,-3.2,0,-0.96
250,Yuta Watanabe,watanyu01,SG,24,MEM,1,5,11.9,1.136,,,0,45.4,22.4,0,0,0,53.2,16.8,0,0,0,0.131,-11,-4.4,-15.5,0,-4.65
251,Justin Holiday,holidju01,SG,29,CHI,7,234,11.8,0.561,0.697,0.121,1.4,10.5,6.1,8.7,2.2,0.8,5.4,13.6,0.2,0,0.2,0.044,1.1,-1.1,0,0.1,3
252,Yogi Ferrell,ferreyo01,SG,25,SAC,7,123,11.8,0.578,0.368,0.263,1.7,7.4,4.5,5.1,1.5,0.7,8.6,15.6,0.1,0.1,0.2,0.081,0,-1.8,-1.8,0,1.46
253,Donte DiVincenzo,divindo01,SG,22,MIL,7,141,11.7,0.587,0.6,0.222,3.1,14.4,9.5,10.2,0.6,1.1,15.4,16.9,0.1,0.3,0.4,0.137,-0.5,1.9,1.4,0.1,5.42
254,Chimezie Metu,metuch01,PF,21,SAS,2,9,11.7,0.34,0.2,0.4,0,26.1,12,15.1,0,9.3,0,28.1,0,0,0,-0.056,-9,0.8,-8.3,0,-2.49
255,P.J. Tucker,tuckepj01,PF,33,HOU,6,214,11.6,0.555,0.696,0.13,4.8,11.5,7.7,5.9,3.1,1.8,9.3,10.4,0.2,0.1,0.3,0.068,-0.5,2.3,1.8,0.2,5.54
256,Otto Porter,porteot01,SF,25,WAS,7,216,11.6,0.497,0.414,0.143,2.8,15,8.8,5.6,2.3,1.8,5.1,15.1,0,0.1,0.1,0.03,-1.7,0.7,-1,0.1,1.7
257,Justise Winslow,winslju01,PF,22,MIA,3,73,11.6,0.431,0.217,0.478,5.6,12.7,9.2,15.2,3.2,2.2,12.6,17.6,0,0.1,0.1,0.054,-2.4,3.7,1.3,0.1,2.39
258,Raymond Felton,feltora01,PG,34,OKC,2,32,11.6,0.448,0.353,0.412,3,19.9,11.1,19.3,0,2.5,13,28.3,0,0,0,-0.011,-4.2,-1,-5.2,0,-1.56
259,Luol Deng,denglu01,SF,33,MIN,1,12,11.5,0.286,0.429,0,25.3,17.8,21.7,0,0,6.6,0,23.7,0,0,0,-0.081,-6.7,-7.2,-13.9,0,-4.17
260,Jeff Green,greenje02,PF,32,WAS,7,183,11.5,0.551,0.357,0.304,4.4,16.5,10.4,8.2,1,2.2,15.9,17.2,0,0.1,0.1,0.02,-2.3,-0.1,-2.4,0,0.28
261,Maurice Harkless,harklma01,SF,25,POR,5,88,11.2,0.503,0.444,0.111,3.8,21.9,13.7,7.3,1.1,5.2,9.6,10.1,0.1,0.2,0.2,0.12,-1.6,4.2,2.6,0.1,3.78
262,Tim Frazier,fraziti01,PG,28,NOP,3,37,11.2,0.543,0.667,0.167,5.7,14.4,10,24.7,1.2,2.2,23.7,9.1,0,0,0.1,0.093,1.3,0.1,1.3,0,1.39
263,Derrick Jones,jonesde02,SF,21,MIA,4,76,11.2,0.489,0.281,0.344,8.1,6.8,7.5,8,1.2,2.1,9.8,21.7,0,0.1,0.1,0.054,-1.3,-0.1,-1.4,0,0.58
264,Evan Fournier,fournev01,SF,26,ORL,7,201,11.2,0.465,0.439,0.15,0.5,9.6,4.7,23.5,0.7,0,5.8,25.3,-0.1,0.1,0,-0.001,0.2,-3.6,-3.4,-0.1,-2.02
265,T.J. McConnell,mccontj01,PG,26,PHI,8,118,11.2,0.574,0.074,0.074,0.8,9.9,5.4,27.6,1.2,1.3,22.3,12.4,0.1,0.1,0.2,0.082,-3.4,-1.2,-4.7,-0.1,-0.41
266,Marcin Gortat,gortama01,C,34,LAC,7,124,11,0.503,0,0.458,10.9,23.2,17.5,11.5,0,3,19.5,12.1,0.1,0.2,0.3,0.101,-1.2,2.4,1.2,0.1,4.36
267,Malik Beasley,beaslma01,SG,22,DEN,6,92,11,0.581,0.419,0,1.2,15,8.1,4.7,1,1,8.8,15.3,0.1,0.1,0.2,0.095,-2.3,0.7,-1.6,0,1.52
268,Ian Clark,clarkia01,SG,27,NOP,5,59,11,0.865,0.385,0.154,0,7.2,3.6,4.2,0,0,12.6,10.8,0.1,0,0.1,0.111,3,-3.5,-0.5,0,0.85
269,Tyler Johnson,johnsty01,PG,26,MIA,7,168,10.9,0.482,0.463,0.259,1.8,7.4,4.6,12.8,2.5,1.5,9.1,15.9,0,0.2,0.2,0.066,-0.8,1.7,0.9,0.1,3.27
270,Devonte' Graham,grahade01,PG,23,CHO,2,19,10.9,0.583,0.5,0,0,11.6,5.7,21.9,0,0,14.3,15.8,0,0,0,0.072,-0.3,-4,-4.2,0,-1.26
271,Jake Layman,laymaja01,SF,24,POR,7,86,10.9,0.583,0.458,0.083,2.6,9.6,6.4,4.8,1.1,0.9,10.8,13.8,0.1,0.1,0.2,0.087,-0.3,-0.3,-0.6,0,1.82
272,Jerome Robinson,robinje01,SG,21,LAC,3,16,10.9,0.563,0.25,0,0,6,3.2,0,0,0,0,21,0,0,0,0.073,-1,-6.1,-7.1,0,-2.13
273,Norman Powell,powelno01,SG,25,TOR,8,135,10.8,0.634,0.471,0.206,0.8,11.5,6.5,7.5,1.4,0.6,13.9,13.4,0.1,0.1,0.3,0.101,-0.2,0.2,0.1,0.1,4.03
274,Marvin Williams,willima02,PF,32,CHO,8,189,10.7,0.439,0.569,0.138,4.4,18.7,11.4,6.2,1,6.1,6.1,14.9,-0.1,0.2,0.2,0.046,-2.3,2.1,-0.2,0.1,2.94
275,Gordon Hayward,haywago01,SF,28,BOS,6,147,10.7,0.481,0.373,0.169,3.3,18,10.6,11.1,2.3,0,12.4,21,-0.2,0.4,0.2,0.075,-3.6,2.8,-0.7,0,1.79
276,D.J. Augustin,augusdj01,PG,31,ORL,7,183,10.7,0.498,0.527,0.218,2,5.8,3.8,26.2,0.8,0,11.7,15.7,0.1,0,0.2,0.043,-0.6,-3.1,-3.7,-0.1,-0.11
277,Taurean Waller-Prince,princta02,SF,24,ATL,7,202,10.7,0.541,0.48,0.235,1,16.6,8.7,16,2,0.8,20,27.4,-0.3,0.2,-0.1,-0.016,-4.4,-1,-5.4,-0.2,-4.62
278,Tyus Jones,jonesty01,PG,22,MIN,7,126,10.6,0.439,0.404,0.043,0.8,5.9,3.3,19,3,0.6,5.9,16.4,0,0,0,0.018,-1.6,-1.8,-3.4,0,-1.02
279,Allonzo Trier,trieral01,SG,23,NYK,7,147,10.5,0.542,0.191,0.404,2.7,11.5,6.9,8.7,0.7,1.3,17.8,19.1,0,0.1,0.1,0.017,-2.6,-1.1,-3.7,-0.1,-1.11
280,Rondae Hollis-Jefferson,holliro01,SF,24,BRK,4,82,10.4,0.401,0.098,0.146,4.2,24.8,15.2,3.9,1.8,2.6,4.4,24.1,-0.2,0.1,-0.1,-0.048,-9.1,-0.6,-9.7,-0.2,-5.91
281,Ian Mahinmi,mahinia01,C,32,WAS,6,101,10.2,0.544,0.125,1.25,9.1,16.5,12.8,4.1,1.8,2.4,13.9,11.9,0.1,0.1,0.1,0.071,-2.6,1,-1.6,0,0.52
282,Dorian Finney-Smith,finnedo01,PF,25,DAL,7,176,10,0.581,0.628,0.14,6,8.8,7.3,4.7,1.9,1.9,13.3,12.4,0.1,0.1,0.2,0.062,-0.6,-0.5,-1.1,0,1.67
283,Greg Monroe,monrogr01,C,28,TOR,2,9,10,0.2,0,0,36.6,32.2,34.3,13.7,0,0,0,23.3,0,0,0,-0.01,-4.8,-1.4,-6.1,0,-1.83
284,Ricky Rubio,rubiori01,PG,28,UTA,6,179,10,0.464,0.436,0.309,0,10.1,5.4,35.4,1.6,0.4,20.4,18.8,0,0.2,0.2,0.057,-2.5,0.3,-2.2,0,1.34
285,Markelle Fultz,fultzma01,SG,20,PHI,8,197,10,0.438,0.157,0.133,5.1,9.4,7.2,23.6,1.9,0.4,12,20.7,-0.1,0.2,0.1,0.023,-3,-0.7,-3.7,-0.1,-1.11
286,Gerald Green,greenge01,SG,33,HOU,6,126,10,0.517,0.787,0.064,3.7,12.6,7.6,4.8,1.1,0.6,7.6,17.2,0,0,0,0.014,-1.2,-2.5,-3.7,-0.1,-2.11
287,Dennis Schroder,schrode01,PG,25,OKC,6,172,10,0.432,0.253,0.265,1.7,12.4,6.8,32.8,1.3,0.5,14.7,24.8,-0.2,0.2,0,0,-3.1,-0.8,-3.9,-0.1,-2.17
288,Mikal Bridges,bridgmi01,SF,22,PHO,6,91,9.9,0.531,0.571,0.25,2.4,12.7,7.5,8.1,3.1,0,13.9,17.2,0,0.1,0,0.014,-1.7,-1,-2.8,0,-0.84
289,Quinn Cook,cookqu01,PG,25,GSW,7,72,9.9,0.547,0.429,0.25,1.7,7.1,4.6,8.6,1.3,0,13.9,21.2,0,0,0.1,0.037,-1.6,-3.9,-5.5,-0.1,-1.65
290,Carmelo Anthony,anthoca01,PF,34,HOU,6,187,9.9,0.484,0.467,0.2,3,17.7,9.4,3.3,1,2.5,6.8,19.5,-0.1,0,0,-0.002,-3.9,-1.4,-5.3,-0.2,-3.59
291,Juan Hernangomez,hernaju01,PF,23,DEN,6,94,9.8,0.5,0.545,0,6.8,19.2,13,4.1,1.5,1.9,8.3,10.5,0,0.2,0.2,0.105,-2.6,2.8,0.2,0.1,3.06
292,Pat Connaughton,connapa01,SG,26,MIL,4,57,9.8,0.467,0.56,0.16,3.8,28.1,17.5,4.6,0.8,1.4,10.1,21.3,-0.1,0.2,0.1,0.075,-4.9,0.7,-4.2,0,-0.26
293,Jared Dudley,dudleja01,PF,33,BRK,7,173,9.7,0.545,0.765,0.059,3.3,8.8,6.2,13.3,2.3,0.8,10.3,9.8,0.2,0.1,0.3,0.076,-0.2,1.4,1.2,0.1,4.36
294,Vince Carter,cartevi01,SF,42,ATL,7,149,9.7,0.558,0.667,0.146,1.3,10.9,6.1,7.8,1.5,1.1,10.5,15.7,0,0.1,0.2,0.054,-2.9,-1.1,-4,-0.1,-0.2
295,Frank Ntilikina,ntilila01,PG,20,NYK,7,207,9.6,0.523,0.483,0.117,0.5,8.7,4.4,14.7,1.9,0.9,13.7,14.7,0.1,0.2,0.2,0.049,-0.2,-0.2,-0.4,0.1,2.88
296,Jarell Martin,martija01,PF,24,ORL,2,19,9.6,0.4,0.4,0,0,22.5,10.4,18.1,0,0,0,22.1,0,0,0,-0.041,-3.4,-3,-6.5,0,-1.95
297,Al-Farouq Aminu,aminual01,PF,28,POR,7,199,9.4,0.485,0.5,0.313,5,23.6,15.2,1.9,1.4,0.4,9.9,12.9,0,0.3,0.3,0.083,-2.3,0.2,-2.1,0,2.37
298,Ryan Anderson,anderry01,PF,30,PHO,6,139,9.4,0.485,0.537,0.244,8,9.2,8.5,12.5,0.7,0,11.7,16.1,0,0,0,0.009,-0.8,-2.6,-3.4,0,-1.02
299,David Nwaba,nwabada01,SG,26,CLE,4,29,9.4,0.507,0.25,0.25,0,16.9,7.8,4.6,0,6.1,10.1,14.1,0,0,0,0.014,-5,-1.1,-6.1,0,-1.83
300,DeAndre' Bembry,bembrde01,SF,24,ATL,7,175,9.4,0.467,0.304,0.25,2.3,19.7,10.9,15.8,2.8,1.9,19.4,18,-0.3,0.3,0,-0.002,-6.5,2.2,-4.2,-0.1,-2.26
301,Josh Okogie,okogijo01,SG,20,MIN,5,139,9.4,0.422,0.418,0.127,6.6,14.6,10.5,7.2,2.7,1.1,10.8,19,-0.2,0.1,-0.1,-0.026,-3,-0.4,-3.5,-0.1,-3.05
302,Bruce Brown,brownbr01,SG,22,DET,4,46,9.3,0.454,0.4,0.4,4.4,10.1,7,6.3,3.1,3.7,10.2,17.9,0,0.1,0.1,0.057,-2.7,1.8,-0.9,0,0.73
303,Alex Poythress,poythal01,PF,25,ATL,4,72,9.3,0.554,0.333,0.6,8.3,12.7,10.5,11.9,1.3,1.1,17.4,13,0,0.1,0.1,0.069,-3.4,0.1,-3.3,0,0.01
304,Michael Carter-Williams,cartemi01,PG,27,HOU,6,91,9.3,0.425,0.286,0.4,2.1,10.8,5.9,21.8,3.1,3.4,16.3,22.4,-0.2,0.1,-0.1,-0.059,-5.4,1.1,-4.3,-0.1,-3.29
305,Marcus Smart,smartma01,SG,24,BOS,7,158,9.2,0.466,0.531,0.469,2.4,9.3,5.8,25.1,2.1,1.1,20.6,13.1,0,0.4,0.4,0.113,-3.3,3,-0.3,0.1,4.91
306,Caleb Swanigan,swanica01,PF,21,POR,3,42,9.2,0.488,0,0.25,15.9,32.8,25.2,3.2,1.1,0,27.3,18.5,0,0.1,0,0.037,-6.1,-0.9,-7,-0.1,-3.1
307,Kyle Korver,korveky01,SG,37,CLE,6,91,9,0.63,0.625,0.208,0,9.4,4.4,10.7,0.5,0,16,14.2,0.1,0,0.1,0.035,-0.1,-4.7,-4.8,-0.1,-1.44
